방제일자,구역/동,작물,농약/자재명,작용기작,적용병해충,사용량,총용량,금액(원)
2026-04-29,4동_1,오이,코니도 수화제,그룹4a,오이총체벌레,1,250,12500
2026-04-29,4동_1,오이,골드윈,16+9b,"목화진딧물,온실가루이",1,0,100
2026-04-28,4동,오이,적토마,카+아4,"흰가루,검은별무늬,갈색무늬,잿빛곰팡이",1,250,0
2026-04-28,4동,오이,인피니트,나5+바4,노균병,2,500,36000
2026-04-25,5동,오이,코니도 수화제,그룹4a,오이총체벌레,1,250,12500
2026-04-25,5동,오이,미래빛,다2,"흰가루,곰팡이",1,125,17000
2026-04-25,5동,오이,인피니트,나5+바4,노균병,2,500,36000
2026-04-22,4동,오이,코니도 수화제,그룹4a,오이총체벌레,1,250,12500
2026-04-22,4동,오이,미리카트,다4,노균병,1,500,38000
2026-04-22,4동,오이,미래빛,다2,"흰가루,곰팡이",1,125,17000
2026-04-17,5동,오이,인피니트,나5+바4,노균병,2,500,36000
2026-04-17,5동,오이,토리치,,살충제,1,250,24500
2026-04-17,5동,오이,트리후민,사1,흰가루,1,0,10000
2026-04-14,4동,오이,다트롤,미분류,살충제,1,500,30000
2026-04-14,4동,오이,벨쿠트,카,흰가루병,1,250,11000
2026-04-14,4동,오이,인피니트,나5+바4,노균병,2,500,36000
2026-04-11,5동,오이,벨쿠트,카,흰가루병,1,250,11000
2026-04-11,5동,오이,인피니트,나5+바4,노균병,2,500,36000
2026-04-11,5동,오이,코니도 수화제,그룹4a,오이총체벌레,1,250,12500
2026-04-07,4동,오이,세티스,그룹29,"목화진딧물,온실가루이,오이총채벌레",1,250,16000
2026-04-07,4동,오이,벨쿠트,카,흰가루병,1,250,11000
2026-04-07,4동,오이,인피니트,나5+바4,노균병,2,500,36000
2026-04-04,5동,오이,미래빛,다2,"흰가루,곰팡이",1,125,17000
2026-04-04,5동,오이,미리카트,다4,노균병,1,500,38000
2026-04-04,5동,오이,방범대,라4+미분류,세균모무늬병,1,250,14500
2026-04-04,5동,오이,캡틴,살충제30,"담배가루이,긴털가루응애",1,0,20000
2026-04-03,4동,오이,히어로,살충제 19+16,담배가루이,1,0,10000
2026-04-02,4동,오이,트리보,,살충제,1,0,19300
2026-03-31,4동,오이,미래빛,다2,"흰가루,곰팡이",1,125,17000
2026-03-31,4동,오이,인피니트,나5+바4,노균병,2,500,36000
2026-03-31,4동,오이,다트롤,미분류,살충제,1,500,30000
2026-03-28,5동,오이,미래빛,다2,"흰가루,곰팡이",1,125,17000
2026-03-28,5동,오이,다트롤,미분류,살충제,1,500,30000
2026-03-28,5동,오이,인피니트,나5+바4,노균병,2,500,36000
2026-03-24,4동,오이,방범대,라4+미분류,세균모무늬병,1,250,14000
2026-03-24,4동,오이,인피니트,나5+바4,노균병,2,500,36000
2026-03-21,5동,오이,토리치,,살충제,1,250,20000
2026-03-21,5동,오이,미래빛,다2,"흰가루,곰팡이",1,125,17000
2026-03-21,5동,오이,미리카트,다4,노균병,1,500,38000
2026-03-19,4동,오이,적토마,카+아4,"흰가루,검은별무늬,갈색무늬,잿빛곰팡이",1,250,0
2026-03-19,4동,오이,미리카트,다4,노균병,1,500,38000
2026-03-14,5동,오이,적토마,카+아4,"흰가루,검은별무늬,갈색무늬,잿빛곰팡이",1,250,0
2026-03-14,5동,오이,세티스,그룹29,"목화진딧물,온실가루이,오이총채벌레",1,250,16000
2026-03-14,5동,오이,인피니트,나5+바4,노균병,2,500,34000
2026-03-11,4동,오이,인피니트,나5+바4,노균병,2,500,34000
2026-03-11,4동,오이,미래빛,다2,"흰가루,곰팡이",1,125,17000
2026-03-11,4동,오이,다트롤,미분류,살충제,1,500,30000
2026-03-07,4동,오이,팬텀,,,1,250,16900
2026-03-07,4동,오이,미래빛,다2,"흰가루,곰팡이",1,125,17000
2026-03-07,4동,오이,미리카트,다4,노균병,1,500,38000
2026-03-07,4동,오이,방범대,라4+미분류,세균모무늬병,1,250,14000
2026-03-07,5동,오이,코니도 수화제,그룹4a,오이총체벌레,1,250,12500
2026-03-07,5동,오이,미래빛,다2,"흰가루,곰팡이",1,125,17000
2026-03-07,5동,오이,미리카트,다4,노균병,1,500,38000
2026-03-06,4동,오이,사파이어(훈제),,잿빛곰팡,4,200,59600
2026-03-01,4동,오이,사파이어(훈제),,잿빛곰팡,6,300,89400
2026-02-28,5동,오이,인피니트,나5+바4,노균병,2,500,34000
2026-02-28,5동,오이,지존,그룹23,차먼지응애,1,250,35000
2026-02-28,5동,오이,사파이어,,잿빛곰팡이,2,200,32000
2026-02-28,4동,오이,지존,그룹23,차먼지응애,1,250,35000
2026-02-28,4동,오이,인피니트,나5+바4,노균병,1,250,17000
2026-02-28,4동,오이,미래빛,,"흰가루,곰팡이",1,125,17000
2026-02-26,5동,오이,사파이어(훈제),,잿빛곰팡,6,300,89400
2026-02-25,,오이,미리카트,,노균병,1,250,38000
2026-02-25,,오이,인피니트,,노균병,1,250,30000
2026-02-21,5동,오이,미리카트,,노균병,1,250,38000
